split,scene,family,condition,degradation,true_siting,base_kernel,mode,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
development,dev_00100_sine_misaligned,sine,misaligned,box,left,spline36,plain,0.003498478151298528,32.637394429076444,0.03568167926449037,5.604566207953862e-09,0.5010082170074079,0.5010082170074079,0.11446001380057169,1.0634240351952287,0.038926188479222,3.0245809327988396e-08
development,dev_00100_sine_misaligned,sine,misaligned,box,left,spline36,algo6,0.0035854112468432855,32.115436123952676,0.03658948818268809,5.67940462912832e-09,0.5690254614459983,0.5690254614459983,0.10958270514631235,0.9181158094531898,0.0398929957965655,2.9802322387695312e-08
development,dev_00100_sine_misaligned,sine,misaligned,box,left,lanczos2,plain,0.003501177408647757,32.508718970072636,0.036739624954824045,0.0,0.5011659066444152,0.5011659066444152,0.12087694075713855,1.1687253571564449,0.03895781149289438,4.0978193283081055e-08
development,dev_00100_sine_misaligned,sine,misaligned,box,left,lanczos2,algo6,0.003602724682225301,31.980312285276465,0.037666014677337704,7.012637243384407e-10,0.5780644329357587,0.5780644329357587,0.11423905195524788,0.9886988425389538,0.040086574298107906,3.0511901492164246e-08
development,dev_00100_sine_misaligned,sine,misaligned,box,left,lanczos3,plain,0.0034953094571355163,32.67399275665856,0.03539257962943122,4.855489047865073e-09,0.5009078566803546,0.5009078566803546,0.11319040430149374,1.031498290313171,0.03889021474779362,3.0245809327988396e-08
development,dev_00100_sine_misaligned,sine,misaligned,box,left,lanczos3,algo6,0.003580616923223847,32.15738896317148,0.036298354044750646,4.872812756470271e-09,0.5660176458002261,0.5660176458002261,0.10876577411801738,0.8972729075186885,0.03983905243997773,3.0511901492164246e-08
development,dev_00100_sine_misaligned,sine,misaligned,box,left,lanczos4,plain,0.0036086189420560925,32.662201727407805,0.0358838553123362,2.0668223788518282e-07,0.5008351469842177,0.5008351469842177,0.11323081774070487,1.0217593797543378,0.040143694617741164,3.4059797014508927e-08
development,dev_00100_sine_misaligned,sine,misaligned,box,left,lanczos4,algo6,0.0036773105593161425,32.15293438971277,0.036654240789738696,2.0672727952755634e-07,0.5650968794600622,0.5650968794600622,0.10878461182680427,0.8892537558955229,0.04090592393740302,3.2995428357805526e-08
development,dev_00100_sine_misaligned,sine,misaligned,box,left,jinc2,plain,0.0039046859504151764,32.30233528139641,0.040999202396205546,0.0,0.5007481648544275,0.5007481648544275,0.10617920986424995,1.4379127822835545,0.0434476686198087,3.822857425326393e-08
development,dev_00100_sine_misaligned,sine,misaligned,box,left,jinc2,algo6,0.0038146026393131626,31.78379342172368,0.03993969789917173,8.564841534410204e-10,0.5996600453166631,0.5996600453166631,0.0992661239704303,1.1318098540804826,0.0424440557669316,3.193105970110212e-08
development,dev_00100_sine_misaligned,sine,misaligned,box,left,jinc3,plain,0.003506406740934485,32.64172200359163,0.035793060187080256,0.0,0.5007168485042128,0.5007168485042128,0.09767520238818918,1.1002418781888867,0.03901565303316429,2.7939677238464355e-08
development,dev_00100_sine_misaligned,sine,misaligned,box,left,jinc3,algo6,0.0036313807406234255,32.130641464724256,0.036904682102907656,5.543586753663563e-10,0.5705686587369302,0.5705686587369302,0.0942386471193711,0.9497472077283209,0.04040573313388796,2.394829477582659e-08
development,dev_00100_sine_misaligned,sine,misaligned,box,left,jinc4,plain,0.003956728618129365,32.55263171552287,0.03771764788477109,6.929483442079453e-13,0.5005795807097607,0.5005795807097607,0.09562094852591321,1.168363046753863,0.044026724328952174,2.0577794029599144e-08
development,dev_00100_sine_misaligned,sine,misaligned,box,left,jinc4,algo6,0.00392438057194862,32.04138570902694,0.037779119820264724,7.234380713530949e-10,0.5765884230846925,0.5765884230846925,0.09170251729262324,0.9816789747278476,0.04366672384951796,2.5988334701174782e-08
development,dev_00100_sine_misaligned,sine,misaligned,triangle,left,bilinear,plain,0.003921756934359524,33.597945621899356,0.041171590560268326,0.0,0.013326862320310863,0.013326862320310863,0.0781485585697787,1.9210263829113117,0.04363761888816953,3.8405969029381164e-08
development,dev_00100_sine_misaligned,sine,misaligned,triangle,left,bilinear,algo6,0.0037925456160343676,33.67469114492833,0.03979099268465126,5.855413508557138e-10,0.06836126656988772,0.06836126656988772,0.07888547802374477,1.8459502175047808,0.04219907699596314,3.49467708950951e-08
development,dev_00100_sine_misaligned,sine,misaligned,triangle,left,bicubic_catrom,plain,0.0032822953188504003,34.47694003236434,0.034456671482638784,0.0,0.011106361839641643,0.011106361839641643,0.07351159884391406,1.5737837464198583,0.03652230018217649,4.026861417861212e-08
development,dev_00100_sine_misaligned,sine,misaligned,triangle,left,bicubic_catrom,algo6,0.0032470215232015954,34.48944734642647,0.03401326651960733,4.386363018836294e-10,0.05069049520421923,0.05069049520421923,0.07430106456020137,1.5373157619715705,0.03612900851294398,3.068929626828148e-08
development,dev_00100_sine_misaligned,sine,misaligned,triangle,left,bicubic_sharp,plain,0.003190807483517755,34.631103663929316,0.03349096047618548,0.0,0.010720591067534662,0.010720591067534662,0.07075769962802378,1.5177591371957526,0.0355043105248894,4.0446008954729355e-08
development,dev_00100_sine_misaligned,sine,misaligned,triangle,left,bicubic_sharp,algo6,0.0031628470848469683,34.637066481848365,0.03311761336226482,4.18540799901599e-10,0.04807192855417284,0.04807192855417284,0.07173181895863323,1.4849526749648854,0.03519240143664536,3.0245809327988396e-08
development,dev_00100_sine_misaligned,sine,misaligned,triangle,left,bicubic_mitchell,plain,0.003971113295575088,33.6624011506186,0.04168898532069371,0.0,0.00951944584551045,0.00951944584551045,0.07051246650788713,1.9116639559116522,0.04418680016394882,3.139887537275042e-08
development,dev_00100_sine_misaligned,sine,misaligned,triangle,left,bicubic_mitchell,algo6,0.0038383300546099364,33.73703330008252,0.040257769035936995,5.543586753663563e-10,0.06571832513033604,0.06571832513033604,0.07217647614420103,1.8334471696639454,0.04270849787142305,3.1221480596633186e-08
development,dev_00100_sine_misaligned,sine,misaligned,triangle,left,spline16,plain,0.0031847912278458856,34.634969316184126,0.033427328321295136,0.0,0.01075883142129668,0.01075883142129668,0.0711295208320452,1.5154508713314174,0.03543736683648257,4.0446008954729355e-08
development,dev_00100_sine_misaligned,sine,misaligned,triangle,left,spline16,algo6,0.0031584381712761616,34.64047594196921,0.033069556121994366,4.2477733499947047e-10,0.04807612090275008,0.04807612090275008,0.07204016242101365,1.483274667676154,0.035143347190959115,3.033450671604701e-08
