study,scene,seed,family,condition,degradation,true_siting,observation,motion,base,bm,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,bicubic,left,q10,,algo2_lanczos3,0,0.003585357252370175,36.19363519756904,0.033551576204964864,0.0002853974833020142,-0.015372878261108827,0.015372878261108827,0.04072808688101609,1.086671443035737,0.036460168704035734,0.007931965633317651
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,bicubic,left,q10,,algo2_lanczos3,1,0.003508922814746541,36.24083240763407,0.03307297137013977,0.0002847055418117504,-0.015532799429156762,0.015532799429156762,0.03975437522818897,1.0844337212904347,0.03562630646462951,0.007546705293602177
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,bicubic,left,q10,,algo6_jinc3,0,0.003155555946640171,37.735780901122645,0.02882032415618596,0.0002853974833020142,-0.0065993391746811455,0.0065993391746811455,0.015340237524488095,0.7416927411405632,0.03180139243514055,0.009990181430198607
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,bicubic,left,q10,,algo6_jinc3,1,0.003109765856287164,37.759350584825626,0.02854999457529283,0.0002835705880508093,-0.0068919736875667666,0.0068919736875667666,0.02069925530620413,0.7401849734401436,0.031322019906448464,0.009772365663333662
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,bicubic,left,q10,,algo6_lanczos4,0,0.0032176026659792626,37.73395612685129,0.028103974816119825,0.0002853973246168434,-0.0064744812455320554,0.0064744812455320554,0.015078973016489756,0.7402105237032253,0.03245656547092256,0.009778008435941524
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,bicubic,left,q10,,algo6_lanczos4,1,0.003121040592737873,37.78190543877241,0.027760414553042557,0.0002830673038261011,-0.006519048131794915,0.006519048131794915,0.018957793693561886,0.7393843137353602,0.03144343543265547,0.009160111303485576
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,bicubic,left,q10_noise,,algo2_lanczos3,0,0.00714315967497133,35.67445672261778,0.034482968938434735,0.0042004478150158234,-0.01594305370772326,0.01594305370772326,0.04058467045552194,1.0989743222317987,0.03921020425678719,0.009401379995757625
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,bicubic,left,q10_noise,,algo2_lanczos3,1,0.005550314737731588,35.98381518313208,0.034118746989125134,0.0024329471350592073,-0.016238519100000695,0.016238519100000695,0.03899696041146617,1.0963455305144887,0.037969166767739114,0.008741281236455376
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,bicubic,left,q10_noise,,algo6_jinc3,0,0.006457267751655045,37.007184912588535,0.03098452227788498,0.0037946830932577584,-0.007096831769888247,0.007096831769888247,0.016428338594514286,0.7372740685123356,0.0356387925733413,0.012749507879128768
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,bicubic,left,q10_noise,,algo6_jinc3,1,0.00502476480319413,37.33552317609194,0.03062861097010043,0.0022015488385001107,-0.007316474104850981,0.007316474104850981,0.020400807402340133,0.7359075693555264,0.03457559241602818,0.012264299938189132
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,bicubic,left,q10_noise,,algo6_lanczos4,0,0.0069180028573046955,36.898231145385466,0.030206532236185184,0.004313501151045784,-0.006860508855846416,0.006860508855846416,0.01667936103056994,0.7356668893958989,0.035825821881492935,0.012110619694881496
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,bicubic,left,q10_noise,,algo6_lanczos4,1,0.005274749629078462,37.33089910370854,0.029687333787207882,0.002501049318761077,-0.007007472103106339,0.007007472103106339,0.019361906528766504,0.7342202929176382,0.03431675501079077,0.011257034698722973
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,bicubic,center,clean,,algo2_lanczos3,0,0.003303601114003825,36.21715594175996,0.0325443636002958,0.0,-0.0003285613519783192,0.0003285613519783192,0.03821716709011423,1.040195116852026,0.035950693989261276,0.008068134376247014
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,bicubic,center,clean,,algo2_lanczos3,1,0.0032200367949951386,36.2708971229565,0.03196852890570361,1.6012075190831508e-06,-0.00014902644306705577,0.00014902644306705577,0.037582275639839006,1.033363136063747,0.035029232901121886,0.007599370362835803
