split,scene,family,condition,degradation,true_siting,assumed_siting,method,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
test,test_01000_sine_coedge,sine,coedge,triangle,center,center,lgcr_plain_jinc,0.0036084057912933874,33.81293341876735,0.03707351647626313,0.0,0.017908271032098355,0.017908271032098355,0.10229886653548872,1.6117928134253565,0.04015088966116309,1.9956912313188824e-08
test,test_01000_sine_coedge,sine,coedge,triangle,center,center,ablate_similarity,0.0033396910985958746,35.109525733068295,0.034712294060184265,0.0,0.028982683915571815,0.028982683915571815,0.11797425472762786,1.594777080162394,0.03716088855816495,1.8449056716192337e-08
test,test_01000_sine_coedge,sine,coedge,triangle,center,center,ablate_plus_rescue,0.003315045789098218,35.197861195749674,0.03445071831685623,0.0,0.029932883214851862,0.029932883214851862,0.11854839777405739,1.5886754710844084,0.0368865233668614,1.800556977589925e-08
test,test_01000_sine_coedge,sine,coedge,triangle,center,center,ablate_plus_anisotropy,0.0033075580770952524,35.223313458120074,0.034371180714298954,0.0,0.030278238721846422,0.030278238721846422,0.11868134744411242,1.5862981985527498,0.03680317168168369,1.800556977589925e-08
test,test_01000_sine_coedge,sine,coedge,triangle,center,center,lgcr_algo2,0.003327582417060551,35.15257392006775,0.03454173612577246,0.0,0.029518551201938862,0.029518551201938862,0.11765728708315855,1.5883824315886337,0.037026125294644205,1.7562082835606167e-08
test,test_01000_sine_coedge,sine,coedge,triangle,center,center,ablate_algo6_ungated,0.0026724649155323707,35.64066785985746,0.027366699787567735,0.0,0.011232502395360555,0.011232502395360555,0.0905961939136089,1.163207655581221,0.029736375103571584,1.747338544754755e-08
test,test_01000_sine_coedge,sine,coedge,triangle,center,center,ablate_algo6_plus_q,0.002692663334928429,35.60428329620742,0.02751436083140323,0.0,0.01129886413937283,0.01129886413937283,0.09077254358857895,1.1705267847448144,0.02996136995387219,1.481246380578904e-08
test,test_01000_sine_coedge,sine,coedge,triangle,center,center,lgcr_algo6,0.0026946793611578763,35.599153476041295,0.027532016596004332,0.0,0.011287948417866797,0.011287948417866797,0.09077050145942085,1.1710974358765693,0.029983802454634792,1.481246380578904e-08
test,test_01000_sine_coedge,sine,coedge,bicubic,left,left,lgcr_plain_jinc,0.003763491276977488,34.949972951037125,0.037715128691962446,3.0974790986095155e-10,0.010980428462463974,0.010980428462463974,0.0976383720457038,1.1079674446639018,0.04186722199388203,0.010869755343134915
test,test_01000_sine_coedge,sine,coedge,bicubic,left,left,ablate_similarity,0.0031412780684687363,36.56135977335106,0.03158369598359421,3.215280317124866e-10,0.0016617106614490293,0.0016617106614490293,0.11485043218480072,0.9910923741669777,0.03494384006730148,0.008693876432343609
test,test_01000_sine_coedge,sine,coedge,bicubic,left,left,ablate_plus_rescue,0.0031361677272905503,36.65155363042682,0.03153742451883902,3.2707161846615017e-10,-0.0012401113370613935,0.0012401113370613935,0.11285820194296402,0.9979505792331398,0.03488679323345423,0.008660298162361696
test,test_01000_sine_coedge,sine,coedge,bicubic,left,left,ablate_plus_anisotropy,0.00313378535684271,36.66736954941544,0.03151461117037494,3.29843411842982e-10,-0.0014920578783163578,0.0014920578783163578,0.11266261977988778,0.997959722907271,0.034860228410079366,0.008649775198483397
test,test_01000_sine_coedge,sine,coedge,bicubic,left,left,lgcr_algo2,0.0031670440433049563,36.585195089501795,0.031831779371021274,3.0836201317253566e-10,-0.00032560314337165287,0.00032560314337165287,0.11157258893364087,1.0113759571386602,0.03523050310711066,0.008691395932276334
test,test_01000_sine_coedge,sine,coedge,bicubic,left,left,ablate_algo6_ungated,0.003166643597943631,36.74916742931035,0.03162137655609903,4.0121709129640036e-10,-0.0018288665150900027,0.0018288665150900027,0.08850504607519304,0.7722922823634593,0.03522603100697909,0.01210971909486467
test,test_01000_sine_coedge,sine,coedge,bicubic,left,left,ablate_algo6_plus_q,0.00320798635953399,36.63733684337864,0.03197820832550254,3.0974790986095155e-10,-0.0013229602658587478,0.0013229602658587478,0.08893364641142182,0.7901643022892086,0.035686091165102664,0.012091432897640126
test,test_01000_sine_coedge,sine,coedge,bicubic,left,left,lgcr_algo6,0.003209876092231981,36.632911276019215,0.03199482308697216,3.0974790986095155e-10,-0.001259754205689811,0.001259754205689811,0.08892905446853831,0.7904675409176352,0.035707119187074046,0.012098943393322684
test,test_01000_sine_coedge,sine,coedge,bicubic,center,center,lgcr_plain_jinc,0.003994397919476407,34.75009622440559,0.03993099262245215,2.343551300111271e-09,0.01627942291431273,0.01627942291431273,0.10155686449930014,1.1450894570492707,0.04443302389145607,0.012414599369679178
test,test_01000_sine_coedge,sine,coedge,bicubic,center,center,ablate_similarity,0.0030013500834935843,36.769830188580684,0.02996900241140836,2.1495257637330465e-09,0.027775093209864227,0.027775093209864227,0.11717690431049205,0.9168480189694084,0.033383373104568036,0.008148775934906942
test,test_01000_sine_coedge,sine,coedge,bicubic,center,center,ablate_plus_rescue,0.0029880663357522495,36.83566085173688,0.02982912596191801,1.8959066697529383e-09,0.02853329317392364,0.02853329317392364,0.11715019511323704,0.9132171772724169,0.033235065395101196,0.008140463553856881
test,test_01000_sine_coedge,sine,coedge,bicubic,center,center,ablate_plus_anisotropy,0.0029826254353555876,36.859405509206034,0.02977165199046708,2.245845583577951e-09,0.028854033529912792,0.028854033529912792,0.11718146920393055,0.9108680072721109,0.03317439447467526,0.008137956195111786
test,test_01000_sine_coedge,sine,coedge,bicubic,center,center,lgcr_algo2,0.0030166806019737693,36.77193854205904,0.030084304322112336,2.1800154908781958e-09,0.02811631174649057,0.02811631174649057,0.11623551615813599,0.9268245411916565,0.03355386897566773,0.008206380697499429
test,test_01000_sine_coedge,sine,coedge,bicubic,center,center,ablate_algo6_ungated,0.00345584502929857,36.456804355049556,0.03448383847699872,2.3664185954701333e-09,0.01037672814249739,0.01037672814249739,0.09032701690385193,0.7712215649141885,0.03844054089859128,0.014804633478412316
test,test_01000_sine_coedge,sine,coedge,bicubic,center,center,ablate_algo6_plus_q,0.003469273394913874,36.43364067042421,0.034551144824079186,2.343551300111271e-09,0.01041964434216264,0.01041964434216264,0.09043334345686181,0.7753331737367644,0.0385899406502999,0.01477655992355375
