split,scene,family,condition,degradation,true_siting,assumed_siting,method,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
dev,dev_00100_sine_misaligned,sine,misaligned,box,left,left,zimg_bilinear,0.003940237401929196,32.15476832389505,0.04137249272025656,0.0,0.5017604372377229,0.5017604372377229,0.12819592779707883,1.4520810855228363,0.0438432554226546,4.0712101118905205e-08
dev,dev_00100_sine_misaligned,sine,misaligned,box,left,left,zimg_bicubic,0.003911648969589141,32.44813101044946,0.04086189134111572,9.687417852027075e-10,0.5012342974194662,0.5012342974194662,0.12063278390276552,1.1581400269002018,0.04352513297150532,0.004577424704274606
dev,dev_00100_sine_misaligned,sine,misaligned,box,left,left,zimg_lanczos3,0.004163168227217422,32.49294115440095,0.04232664295531798,8.376359584785643e-09,0.5009078558738679,0.5009078558738679,0.11319039124967174,1.0135138909823505,0.046319909083346524,0.007429720928138565
dev,dev_00100_sine_misaligned,sine,misaligned,box,left,left,zimg_spline36,0.00407667242355783,32.49951857351638,0.04167906656948617,8.001474530569145e-09,0.5010081788251416,0.5010081788251416,0.11445999798221887,1.0488125033908717,0.04535874178899186,0.006432591269480153
dev,dev_00100_sine_misaligned,sine,misaligned,box,left,left,jbu,0.005572549539237768,27.82666582519347,0.05841412638950162,0.0,0.9420600600693955,0.9420600600693955,0.12909888712725034,0.6558669425339332,0.062006042072815556,1.889254365648542e-08
dev,dev_00100_sine_misaligned,sine,misaligned,box,left,left,guided_filter,0.007564507842085286,28.88523774012546,0.07597962189417255,6.5448971110440435e-09,0.811109782787196,0.811109782787196,0.03974311976198047,1.9672299107949558,0.08415561524175462,0.017588269320272264
dev,dev_00100_sine_misaligned,sine,misaligned,box,left,left,wada_ejbf,0.0040609496088610305,31.696584772258973,0.04025815914859604,2.3847597601291325e-05,0.6173354051025134,0.6173354051025134,0.07157953459986596,0.8228307393561451,0.044644189200231006,0.0
dev,dev_00100_sine_misaligned,sine,misaligned,box,left,left,korhonen,0.004056472322244151,31.463749443722868,0.04259295938356358,0.0,0.5959621419033184,0.5959621419033184,0.13179990800223595,1.3222530129820849,0.04513660700814355,4.0712101118905205e-08
dev,dev_00100_sine_misaligned,sine,misaligned,box,left,left,galosh_form,0.004233175672771163,29.1149990436409,0.044448344564097214,0.0,0.6438336802764084,0.6438336802764084,0.45427804907498953,0.6790767891431062,0.04710280396864705,4.718701044718424e-08
dev,dev_00100_sine_misaligned,sine,misaligned,box,left,left,lgcr_plain_jinc,0.003506406740934485,32.64172200359163,0.035793060187080256,0.0,0.5007168485042128,0.5007168485042128,0.09767520238818918,1.1002418781888867,0.03901565303316429,2.7939677238464355e-08
